Price,Rooms & Living Space Details,Address
CHF 3’020.– / Monat,3.5 Zimmer 81m² Wohnfläche,"Eugen-Huber-Str. 115, 8048 Zürich"
CHF 3’690.– / Monat,6.5 Zimmer 160m² Wohnfläche,"Limmattalstrasse 234, 8049 Zürich"
CHF 4’010.– / Monat,7.5 Zimmer 170m² Wohnfläche,"Bachmannweg 7, 8046 Zürich"
CHF 4’260.– / Monat,5 Zimmer 141m² Wohnfläche,"Albisriederstrasse 22, 8003 Zürich"
CHF 3’340.– / Monat,4.5 Zimmer 125m² Wohnfläche,"Felsenrainstrasse 27, 8052 Zürich"
CHF 3’790.– / Monat,4.5 Zimmer 100m² Wohnfläche,"Langgrütstrasse 98, 8047 Zürich"
CHF 8’200.– / Monat,6.5 Zimmer 187m² Wohnfläche,"Genferstr. 24, 8002 Zürich"
CHF 4’440.– / Monat,6 Zimmer 150m² Wohnfläche,"Hugostrasse 9, 8050 Zürich"
CHF 4’240.– / Monat,6.5 Zimmer 143m² Wohnfläche,"Rümlangstrasse 31, 8052 Zürich"
CHF 5’600.– / Monat,6.5 Zimmer 181m² Wohnfläche,"Fritz Fleiner-Weg 7, 8044 Zürich"
CHF 6’740.– / Monat,6 Zimmer 190m² Wohnfläche,"Sternenstrasse 16, 8002 Zürich"
CHF 8’750.– / Monat,7.5 Zimmer 210m² Wohnfläche,"Birmensdorferstrasse 598, 8055 Zürich"
CHF 4’350.– / Monat,6.5 Zimmer 162m² Wohnfläche,"Rümlangstrasse 31, 8052 Zürich"
CHF 9’120.– / Monat,7.5 Zimmer 230m² Wohnfläche,"Plattenstr. 34, 8032 Zürich"
CHF 7’060.– / Monat,6.5 Zimmer 150m² Wohnfläche,"Ankerstrasse 114, 8004 Zürich"
Preis auf Anfrage,140m² Wohnfläche,"Eggbühlstrasse 36, 8050 Zürich"
Preis auf Anfrage,58m² Wohnfläche,"Eggbühlstrasse 36, 8050 Zürich"
CHF 2’020.– / Monat,2 Zimmer 28m² Wohnfläche,"Universitätsstrasse 110, 8006 Zürich"
CHF 3’540.– / Monat,4.5 Zimmer 66m² Wohnfläche,"Dienerstrasse 8, 8004 Zürich"
CHF 9’570.– / Monat,6.5 Zimmer 190m² Wohnfläche,"Genferstr. 24, 8002 Zürich"
CHF 4’170.– / Monat,6.5 Zimmer 173m² Wohnfläche,"Stüssistrasse 83, 8057 Zürich"
CHF 2’720.– / Monat,4.5 Zimmer 108m² Wohnfläche,"Küngenmatt 7, 8055 Zürich"
CHF 4’310.– / Monat,4.5 Zimmer 123m² Wohnfläche,"Eggbühlstrasse 26, 8050 Zürich"
CHF 7’960.– / Monat,3 Zimmer 168m² Wohnfläche,"Ankerstrasse 114, 8004 Zürich"
CHF 7’100.– / Monat,6.5 Zimmer 170m² Wohnfläche,"Thujastrasse 17, 8038 Zürich"
Preis auf Anfrage,7.5 Zimmer 230m² Wohnfläche,"Seebahnstrasse, 8003 Zürich"
CHF 7’700.– / Monat,7.5 Zimmer 210m² Wohnfläche,"Bremgartnerstrasse 51, 8003 Zürich"
CHF 8’160.– / Monat,5 Zimmer 160m² Wohnfläche,"Weinbergstrasse 46, 8006 Zürich"
CHF 6’070.– / Monat,7.5 Zimmer 170m² Wohnfläche,"Flühgasse 9, 8008 Zürich"
CHF 5’790.– / Monat,6.5 Zimmer 156m² Wohnfläche,"St. Urbangasse 8, 8001 Zürich"
CHF 8’020.– / Monat,11.5 Zimmer 290m² Wohnfläche,"Scheideggstrasse 70, 8002 Zürich"
CHF 3’830.– / Monat,6 Zimmer 183m² Wohnfläche,"Albisstrasse 10, 8038 Zürich"
CHF 3’960.– / Monat,3.5 Zimmer 91m² Wohnfläche,"Russenweg 6a, 8008 Zürich"
CHF 2’660.– / Monat,6 Zimmer,"Witikonerstrasse 337, 8053 Zürich"
CHF 6’690.– / Monat,9 Zimmer 210m² Wohnfläche,"Weinbergstrasse 164, 8006 Zürich"
CHF 4’140.– / Monat,6.5 Zimmer 145m² Wohnfläche,"Langstrasse 206, 8005 Zürich"
CHF 5’310.– / Monat,4.5 Zimmer 187m² Wohnfläche,"Zurlindenstrasse 111, 8003 Zürich"
CHF 3’360.– / Monat,6.5 Zimmer 160m² Wohnfläche,"Heerenschürlistrasse 1, 8051 Zürich"
CHF 3’390.– / Monat,4.5 Zimmer 112m² Wohnfläche,"Turbinenstrasse 33, 8005 Zürich"
CHF 3’460.– / Monat,4.5 Zimmer 127m² Wohnfläche,"Anwandstr. 82, 8004 Zürich"
CHF 5’130.– / Monat,4.5 Zimmer 146m² Wohnfläche,"Bellariastrasse 11, 8002 Zürich"
CHF 6’330.– / Monat,4.5 Zimmer 171m² Wohnfläche,"Klausstrasse 23, 8008 Zürich"
CHF 3’220.– / Monat,5 Zimmer 135m² Wohnfläche,"Renggerstrasse 57, 8038 Zürich"
CHF 4’170.– / Monat,4.5 Zimmer 156m² Wohnfläche,"Flüelastrasse 25, 8047 Zürich"
CHF 5’800.– / Monat,6.5 Zimmer,"Ferdinand-Hodler-Strasse 40, 8049 Zürich"
CHF 2’340.– / Monat,5 Zimmer 104m² Wohnfläche,"Bergacker 22, 8046 Zürich"
CHF 2’650.– / Monat,3.5 Zimmer 43m² Wohnfläche,"Dienerstrasse 8, 8004 Zürich"
CHF 3’620.– / Monat,2 Zimmer 123m² Wohnfläche,"Birchstrasse 98, 8050 Zürich"
CHF 3’990.– / Monat,6 Zimmer 170m² Wohnfläche,"Glattalstrasse 74/76, 8052 Zürich"
CHF 2’990.– / Monat,4.5 Zimmer 91m² Wohnfläche,"Anemonenstrasse 42, 8047 Zürich"
CHF 7’410.– / Monat,6 Zimmer 140m² Wohnfläche,"Gladbachstrasse 43, 8044 Zürich"
CHF 5’910.– / Monat,2 Zimmer 177m² Wohnfläche,"Hohlstrasse 212, 8004 Zürich"
CHF 3’990.– / Monat,3 Zimmer 131m² Wohnfläche,"Rotbuchstrasse 3, 8006 Zürich"
