"Date","Price","Open","High","Low","Vol.","Change %"
"04/06/2023","11,230.07","11,146.63","11,239.59","11,146.63","48.21M","1.03%"
"04/05/2023","11,115.40","11,059.52","11,134.16","11,042.76","41.60M","0.38%"
"04/04/2023","11,073.48","11,114.49","11,124.14","11,064.44","42.65M","-0.18%"
"04/03/2023","11,093.09","11,112.31","11,119.60","11,049.57","53.56M","-0.12%"
"03/31/2023","11,106.24","11,047.29","11,116.03","11,041.57","56.88M","0.67%"
"03/30/2023","11,032.21","11,013.49","11,049.21","10,985.23","67.58M","0.63%"
"03/29/2023","10,963.31","10,890.53","10,984.92","10,882.78","91.27M","1.15%"
"03/28/2023","10,839.11","10,835.83","10,857.61","10,804.76","60.42M","0.49%"
"03/27/2023","10,786.22","10,785.28","10,817.72","10,722.97","63.07M","1.43%"
"03/24/2023","10,634.04","10,655.18","10,669.04","10,561.63","100.79M","-0.79%"
"03/23/2023","10,718.54","10,723.73","10,729.21","10,653.96","80.66M","-0.59%"
"03/22/2023","10,782.28","10,788.61","10,846.70","10,763.41","106.04M","-0.10%"
"03/21/2023","10,792.58","10,740.36","10,814.48","10,731.90","162.34M","1.40%"
"03/20/2023","10,643.64","10,571.09","10,689.76","10,395.33","415.97M","0.28%"
"03/17/2023","10,613.55","10,783.76","10,794.33","10,566.90","251.68M","-0.98%"
"03/16/2023","10,719.10","10,609.70","10,719.10","10,524.37","279.17M","1.93%"
"03/15/2023","10,516.40","10,716.78","10,720.78","10,460.34","360.88M","-1.87%"
"03/14/2023","10,716.72","10,643.38","10,728.66","10,593.55","119.15M","0.80%"
"03/13/2023","10,632.05","10,735.78","10,739.62","10,538.35","170.95M","-1.24%"
"03/10/2023","10,765.26","10,860.73","10,880.77","10,720.08","102.11M","-1.68%"
"03/09/2023","10,948.85","10,963.87","10,975.39","10,908.34","58.80M","-0.69%"
"03/08/2023","11,025.26","11,016.85","11,044.82","10,995.92","44.63M","-0.35%"
"03/07/2023","11,064.08","11,122.05","11,181.68","11,064.08","39.64M","-0.75%"
"03/06/2023","11,147.25","11,173.40","11,203.67","11,137.94","43.90M","-0.38%"
"03/03/2023","11,190.09","11,192.67","11,194.41","11,134.81","59.69M","0.22%"
"03/02/2023","11,165.58","11,005.22","11,168.83","10,994.16","83.24M","0.99%"
"03/01/2023","11,056.08","11,091.90","11,141.12","11,040.23","47.47M","-0.38%"
"02/28/2023","11,098.35","11,183.25","11,220.15","11,098.35","63.10M","-1.08%"
"02/27/2023","11,219.93","11,215.62","11,272.69","11,215.62","44.26M","0.34%"
"02/24/2023","11,181.77","11,297.50","11,315.18","11,141.68","37.14M","-0.59%"
"02/23/2023","11,247.75","11,317.12","11,320.10","11,246.68","43.82M","-0.46%"
"02/22/2023","11,300.29","11,266.65","11,333.85","11,197.77","43.33M","0.16%"
"02/21/2023","11,282.16","11,251.55","11,292.72","11,164.10","76.33M","0.14%"
"02/20/2023","11,266.68","11,286.28","11,291.70","11,247.40","36.17M","0.09%"
"02/17/2023","11,256.29","11,153.28","11,277.38","11,116.71","47.40M","0.55%"
"02/16/2023","11,194.91","11,309.84","11,320.54","11,154.11","56.28M","-0.69%"
"02/15/2023","11,272.67","11,206.11","11,285.37","11,195.10","40.60M","0.36%"
"02/14/2023","11,231.91","11,233.17","11,308.91","11,216.64","47.97M","0.20%"
"02/13/2023","11,209.34","11,144.95","11,214.52","11,141.39","49.71M","0.71%"
"02/10/2023","11,130.46","11,146.51","11,172.18","11,034.48","76.23M","-0.78%"
"02/09/2023","11,217.73","11,313.61","11,336.22","11,215.72","152.37M","-0.52%"
"02/08/2023","11,276.28","11,358.64","11,361.73","11,271.45","51.90M","0.38%"
"02/07/2023","11,233.87","11,290.26","11,304.70","11,217.18","40.57M","-0.44%"
"02/06/2023","11,283.25","11,305.51","11,307.48","11,229.48","48.62M","-0.58%"
"02/03/2023","11,349.39","11,192.71","11,355.45","11,181.96","54.12M","1.44%"
"02/02/2023","11,188.42","11,224.08","11,279.81","11,146.45","76.60M","-0.11%"
"02/01/2023","11,200.93","11,299.53","11,301.31","11,180.26","54.01M","-0.75%"
"01/31/2023","11,285.78","11,358.75","11,358.75","11,238.81","58.61M","-0.82%"
"01/30/2023","11,379.64","11,296.53","11,397.53","11,287.93","46.42M","0.42%"
"01/27/2023","11,332.30","11,339.60","11,359.46","11,296.15","50.19M","0.13%"
"01/26/2023","11,317.56","11,425.41","11,441.10","11,317.56","55.35M","-0.76%"
"01/25/2023","11,404.77","11,386.57","11,404.77","11,327.93","39.77M","-0.01%"
