date,open,high,low,close,volume,currency
2019-04-02,166.84,253.84,186.22,243.53,274062818.47,Bitcoin Cash
2019-04-03,243.2,350.17,242.68,301.25,353867698.71,Bitcoin Cash
2019-04-04,301.25,321.9,274.07,287.02,149236447.42,Bitcoin Cash
2019-04-05,286.1,319.24,288.55,294.05,225155048.87,Bitcoin Cash
2019-04-06,294.05,329.53,288.87,306.47,310859468.27,Bitcoin Cash
2019-04-07,306.47,352.53,307.39,320.5,269522250.07,Bitcoin Cash
2019-04-08,320.5,354.92,302.82,310.29,162504243.02,Bitcoin Cash
2019-04-09,310.29,333.2,295.38,296.63,120718615.49,Bitcoin Cash
2019-04-10,296.63,342.36,300.98,305.07,112527531.3,Bitcoin Cash
2019-04-11,305.07,312.15,259.34,271.81,149255345.28,Bitcoin Cash
2019-04-12,271.81,316.53,265.31,282.23,137213796.22,Bitcoin Cash
2019-04-13,282.23,316.78,274.71,278.98,149905465.02,Bitcoin Cash
2019-04-14,278.98,326.31,280.39,289.63,116561479.16,Bitcoin Cash
2019-04-15,289.63,337.85,280.98,312.76,293074887.72,Bitcoin Cash
2019-04-16,312.76,343.37,314.44,317.51,174756901.56,Bitcoin Cash
2019-04-17,317.51,334.13,306.11,310.3,183513959.18,Bitcoin Cash
2019-04-18,310.3,334.31,305.91,306.7,145895157.33,Bitcoin Cash
2019-04-19,306.7,325.99,294.86,307.19,178217476.17,Bitcoin Cash
2019-04-20,307.19,317.87,297.73,300.29,112178120.73,Bitcoin Cash
2019-04-21,300.29,312.67,283.27,290.65,156429738.44,Bitcoin Cash
2019-04-22,290.65,313.43,290.66,306.9,163104941.32,Bitcoin Cash
2019-04-23,306.9,322.26,288.25,289.36,184547568.05,Bitcoin Cash
2019-04-24,289.36,293.51,269.78,279.17,224887383.7,Bitcoin Cash
2019-04-25,279.17,274.45,261.59,265.05,153132539.76,Bitcoin Cash
2019-04-26,265.05,274.84,257.46,262.7,152943344.47,Bitcoin Cash
2019-04-27,262.7,275.23,259.49,261.42,90091485.28,Bitcoin Cash
2019-04-28,271.36,280.34,250.92,254.82,123756029.36,Bitcoin Cash
2019-04-29,254.82,265.93,232.88,238.27,205077883.42,Bitcoin Cash
2019-04-30,238.27,277.54,240.83,268.33,280821704.74,Bitcoin Cash
2019-05-01,268.33,288.61,266.08,271.26,302411754.31,Bitcoin Cash
2019-05-02,271.26,290.11,266.07,269.87,233834872.56,Bitcoin Cash
2019-05-03,269.87,302.63,270.12,292.04,325484370.28,Bitcoin Cash
2019-05-04,292.04,314.61,277.52,291.42,495808915.86,Bitcoin Cash
2019-05-05,291.42,303.9,285.88,294.81,329089413.16,Bitcoin Cash
2019-05-06,294.81,297.99,279.71,288.27,257755559.76,Bitcoin Cash
2019-05-07,288.27,302.09,279.51,284.46,202251248.79,Bitcoin Cash
2019-05-08,284.46,298.62,284.16,286.92,121087693.74,Bitcoin Cash
2019-05-09,286.92,308.17,279.9,283.29,155818702.62,Bitcoin Cash
2019-05-10,283.29,312.76,282.24,286.38,191704601.82,Bitcoin Cash
2019-05-11,286.38,379.99,308.94,352.88,507261218.32,Bitcoin Cash
2019-05-12,352.88,362.91,333.11,355.65,491447105.87,Bitcoin Cash
2019-05-13,355.65,409.91,375.88,383.6,311822785.83,Bitcoin Cash
2019-05-14,383.25,409.32,363.65,388.77,114852787.87,Bitcoin Cash
2019-05-15,388.31,426.46,382.35,403.63,247122243.19,Bitcoin Cash
2019-05-16,403.63,432.21,386.23,398.35,338651721.05,Bitcoin Cash
2019-05-17,398.35,388.8,356.88,367.86,264744333.12,Bitcoin Cash
2019-05-18,367.86,377.62,353.49,367.3,137557148.63,Bitcoin Cash
2019-05-19,358.12,432.44,356.9,418.08,107699210.92,Bitcoin Cash
2019-05-20,418.42,427.75,401.51,414.47,200982199.34,Bitcoin Cash
2019-05-21,414.47,461.46,406.7,416.71,199859072.91,Bitcoin Cash
2019-05-22,416.71,418.95,381.57,387.6,153259137.14,Bitcoin Cash
